Nit;Fecha Corte;Duracion;Ingresos de actividades ordinarias;Costo de ventas;Ganancia bruta;Otros ingresos;Gastos de ventas;Gastos de administración;Otros gastos;Otras ganancias (pérdidas);Ganancia (pérdida) por actividades de operación;Ingresos financieros;Costos financieros;Ganancia (pérdida), antes de impuestos;Ingreso (gasto) por impuestos;Ganancia (pérdida) procedente de operaciones continuadas;Ganancia (pérdida) procedente de operaciones discontinuadas;Ganancia (pérdida)
811001723;31/12/2016;2016;19379130;12154359;7224771;925258;2107421;2020850;553197;0;3468561;65012;353218;3180355;1192233;1988122;0;1988122
800041628;31/12/2016;2016;4884430;36491;4847939;289614;;4755131;149334;;233088;;;233088;64813;168275;;168275
900220423;31/12/2016;2016;15718748;12038359;3680389;229256;0;2223662;0;0;1685983;0;1352417;333566;25088;308478;;308478
890922907;31/12/2016;2016;17110911;14864256;2246655;86333;;1492185;;;840803;;367523;473280;118320;354960;;354960
900429324;31/12/2016;2016;5725205;5323612;401593;9182;1136016;203388;4515;0;-933144;;40261;-973405;;-973405;;-973405
800089522;31/12/2016;2016;22284952;16519922;5765030;0;;4388541;143712;;1232777;;234917;997860;935656;62204;;62204
900167123;31/12/2016;2016;1545386;0;1545386;1903;0;1106846;18414;0;422029;0;0;422029;66800;355229;0;355229
900242518;31/12/2016;2016;11977471;13089392;-1111921;1366371;697932;1022010;713680;0;-2179172;27848;1176166;-3327490;-617081;-2710409;;-2710409
900089825;31/12/2016;2016;96531616;79555063;16976553;381237;8519538;6862540;739;;1974973;1553;592159;1384367;402218;982149;;982149
817002925;31/12/2016;2016;3695836;2074246;1621590;12089;554580;549715;246758;-16200;266426;199;119253;147372;124439;22933;;22933
900488025;31/12/2016;2016;2245490;988631;1256859;20744;12467;579481;636030;;49625;;;49625;;49625;;49625
800176428;31/12/2016;2016;21068502;14493362;6575140;0;3272009;1416812;1218805;0;667514;;;667514;327182;340332;;340332
832009008;31/12/2016;2016;1543298;1235542;307756;8260;5442;239360;0;0;71214;;62587;8627;3200;5427;;5427
900064624;31/12/2016;2016;1613221;567659;1045562;292654;887894;718314;1650;;-269642;;121714;-391356;21967;-413323;;-413323
900124662;31/12/2016;2016;1663367;;1663367;0;;2050948;27962;;-415543;;30089;-445632;4685;-450317;;-450317
860080412;31/12/2016;2016;815831;0;815831;0;8900;943442;124327;0;-260838;0;10595;-271433;0;-271433;0;-271433
900547027;31/12/2016;2016;991358;;991358;4945;;277136;1062;;718105;27531;1700;743936;60050;683886;;683886
890400122;31/12/2016;2016;15771358;14154031;1617327;2138928;;876531;176247;;2703477;;;2703477;278460;2425017;17290;2442307
891300123;31/12/2016;2016;3170157;995949;2174208;325393;;830059;5976;;1663566;;;1663566;615484;1048082;;1048082
830141725;31/12/2016;2016;13640353;12319093;1321260;694618;;718045;1556;;1296277;18924;128731;1186470;425349;761121;;761121
800109032;31/12/2016;2016;586796;343792;243004;5859;12624;140636;28545;0;67058;8384;2032;73410;35054;38356;0;38356
900356854;31/12/2016;2016;1385162;;1385162;986379;12574;1009494;67691;;1281782;18413;1998;1298197;648870;649327;;649327
800135325;31/12/2016;2016;25797374;17196932;8600442;1361515;5237638;2809404;141797;0;1773118;103592;382197;1494513;492280;1002233;0;1002233
