NIT;FECHA CORTE;DURACION;(+/-) Ganancia (pérdida);(+/-) Ajustes por gastos por impuestos a las ganancias;( + ) Ajustes por gastos de depreciación y amortización;(+/-) Ajustes por deterioro de valor (reversiones de pérdidas por deterioro de valor) reconocidas en el resultado del periodo;(+) Ajustes por provisiones;(+) Ajustes por costos financieros;(+/-) Ajustes por pérdidas (ganancias) de moneda extranjera no realizadas;(+/-) Ajustes por pérdidas (ganancias) del valor razonable;(-) Ajustes por ganancias no distribuidas de asociadas;(+/-) Ajustes por pérdidas (ganancias) por la disposición de activos no corrientes;(+/-) Otros ajustes para conciliar la ganancia (pérdida);Total ajustes para conciliar la ganancia (pérdida);(+/-) Ajustes por disminuciones (incrementos) en los inventarios;(+/-) Ajustes por la disminución (incremento) de cuentas por cobrar de origen comercial;(+/-) Ajustes por disminuciones (incrementos) en otras cuentas por cobrar derivadas de las actividades de operación;(+/-) Ajustes por el incremento (disminución) de cuentas por pagar de origen comercial;(+/-) Ajustes por incrementos (disminuciones) en otras cuentas por pagar derivadas de las actividades de operación;(+/-) Otras entradas (salidas) de efectivo;Flujos de efectivo netos procedentes de (utilizados en) actividades de operación;(+) Flujos de efectivo procedentes de la pérdida de control de subsidiarias u otros negocios;(-) Flujos de efectivo utilizados para obtener el control de subsidiarias u otros negocios;(+) Otros cobros por la venta de patrimonio o instrumentos de deuda de otras entidades;(-) Otros pagos para adquirir patrimonio o instrumentos de deuda de otras entidades;(+) Otros cobros por la venta de participaciones en negocios conjuntos;(-) Otros pagos para adquirir participaciones en negocios conjuntos;(+) Importes procedentes de la venta de propiedades, planta y equipo;(-) Compras de propiedades, planta y equipo;(+) Importes procedentes de ventas de activos intangibles;(-) Compras de activos intangibles;(+) Recursos por ventas de otros activos a largo plazo;(-) Compras de otros activos a largo plazo;(-) Pagos derivados de contratos de futuro, a término, de opciones y de permuta financiera;(+) Cobros procedentes de contratos de futuro, a término, de opciones y de permuta financiera;(+) Dividendos recibidos;(+) Intereses recibidos;(+/-) Otras entradas (salidas) de efectivo;Flujos de efectivo netos procedentes de (utilizados en) actividades de inversión;(+) Importes procedentes de aumento de capital y/o recolocación de acciones;(-) Disminución de capital social y/o readquisición de acciones;(-) Pagos por otras participaciones en el patrimonio;(+) Importe procedente del aumento prima por emisión;(-) Disminución de prima por emisión;(+) Importes procedentes de préstamos;(-) Reembolsos de préstamos;(-) Pagos de pasivos por arrendamientos financieros;(-) Dividendos pagados;(-) Intereses pagados;(+/-) Otras entradas (salidas) de efectivo;Flujos de efectivo netos procedentes de (utilizados en) actividades de financiación;Incremento (disminución) neto de efectivo y equivalentes al efectivo, antes del efecto de los cambios en la tasa de cambio;(+/-) Efectos de la variación en la tasa de cambio sobre el efectivo y equivalentes al efectivo;Incremento (disminución) neto de efectivo y equivalentes al efectivo;Efectivo y equivalentes al efectivo al principio del periodo;Efectivo y equivalentes al efectivo al final del periodo
805018570;31/08/2016;2016-ene-01 / 2016-ago-31;8331956;671261;15517;0;0;0;0;0;0;0;0;686778;82767;17686;-6010027;-790054;-5032116;-15517;-2728527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3939007;3939007;0;0;0;0;0;80000;1864434;0;178336;0;-70973;-2033743;-823263;;-823263;908953;85690
805018722;31/12/2016;2016;397962;;6062;;;;;;;;;6062;-1693517;-418669;;1857240;;-57090;91988;;;;;;;;5064;;;;;;;;;;-5064;;;;;;;;;;;;;86924;;86924;233112;320036
805018724;31/12/2016;2016;178381;180760;301351;-2525;0;0;2093;0;0;0;0;481679;114390;378219;0;-132605;-3254;-627466;389344;0;0;0;0;0;0;194096;116299;0;0;0;0;0;0;0;0;0;77797;0;0;0;0;0;0;0;77616;500000;0;3366;-574250;-107109;-2093;-109202;527762;418560
805018770;31/12/2016;2016;-87597;7165;24446;;7105;;;;;;-9525;29191;;112095;;-24598;2736;832;32659;;;;;;;;;;22133;;;;;;;-118;-22251;;;;;;;;;;;;;10408;;10408;44898;55306
805018810;31/12/2016;2016;278485;;609842;;;;;;;;;609842;;-251329;;-189988;;707620;1154630;;;;22506;;;;3675361;;;;;;;;;-78506;-3776373;;;;;;2536723;;;;;;2536723;-85020;;-85020;145102;60082
805018962;31/12/2016;2016;343901;183114;10565;2611;;;;;;;;196290;109820;-98718;1346;-55241;14000;-152493;358905;;;;;;;;;;;;;;;;;;;;;;;;5566;;;241288;;-21940;-257662;101243;;101243;99390;200633
805019220;31/12/2016;2016;-88161;;950;;;;;;;;;950;-44196;54889;;-61294;127569;;-10243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10243;;-10243;12393;2150
805019312;31/12/2016;2016;795171;416010;34200;;;;;9936;;;;460146;-183691;21730;0;1244804;-62633;-67577;2207950;;;;;;;;102201;6369;;;;;;;;-433920;-529752;;;;;;;710144;;;;;-710144;968054;;968054;1516836;2484890
805019411;31/12/2016;2016;199548;;50216;;;;;;;;;50216;-441345;-181348;758;166036;-66176;91100;-181211;;;;;;;;12469;;;;;;;;;;-12469;;;;;;;;;75000;;-24000;-99000;-292680;;-292680;581860;289180
805019530;31/12/2016;2016;111966;;11963;;;;;;;;;11963;;;;;;;123929;;;;;;;;;;;;;;;44547;11952;;56499;;;;;;244415;;;;14447;;229968;410396;;410396;19769;430165
805019855;31/12/2016;2016;672901;;90568;95107;;1588573;;;;;25343;1799591;-2547722;354265;-4188891;830572;-39967;25182;-3094069;;;;;;;;17485;;;;1465866;;;;;;-1483351;2000000;;;;;24264795;18369721;;2000000;1588571;;4306503;-270917;;-270917;;
805019858;31/12/2016;2016;3575525;23979;13801;;;;;;;;;37780;;;-301559;;-1323098;;1988648;;;;;;;2086;;;;;;;;;;;2086;;;;;;;;;1375127;;;-1375127;615607;;615607;2112434;2728041
805019983;31/12/2016;2016;-26725;;;;;;;;;356482;-1146124;-789642;;5349762;126153;114370;;-73124;4700794;;;;;;;;;;;;;;;;;436779;436779;;;;;;;6501430;;;;;-6501430;-1363857;;-1363857;1446545;82688
805020005;31/12/2016;2016;19682;0;44642;0;0;0;0;0;0;0;0;44642;3258;-115316;-74071;-43552;170186;0;4829;0;0;0;0;0;0;0;478480;0;0;0;0;0;0;0;0;-682153;-1160633;0;0;0;0;0;1351060;75718;0;0;0;0;1275342;119538;0;119538;142851;262389
805020433;31/12/2016;2016;310474;232463;152814;11248;;;;;;21852;1243;419620;17602;53521;-276350;-587118;-92998;27582;-127667;;;;;;;;597787;984180;;;;;;;;;386393;;;;;;24647;;39655;;;;-15008;243718;;243718;801287;1045005
805020686;31/12/2016;2016;-416349;48095;1809479;0;0;0;0;0;0;0;0;1857574;-68084;-43642;-8270;-777234;-1802727;1527957;269225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-321759;-321759;-52534;;-52534;64299;11765
805020771;31/12/2016;2016;1342717;757916;173139;190940;0;0;0;0;0;0;0;1121995;420767;1431660;275869;-2235328;0;-162674;2195006;0;0;0;0;0;0;0;1026215;220;0;0;0;0;0;0;0;0;-1025995;0;0;0;0;0;0;0;593755;240000;0;0;-833755;335256;;335256;1524088;1859344
805020824;31/12/2016;2016;57979;-25152;17271;0;0;0;0;0;0;0;0;-7881;-101792;-23068;-192385;168775;23775;;-74597;0;0;0;0;0;0;0;1864;0;0;0;0;0;0;0;0;0;-1864;;;;;;90054;0;;;;;90054;13593;0;13593;49489;63082
805020838;31/12/2016;2016;188679;0;337;0;0;0;0;0;0;0;0;337;-184159;-56830;-173214;277555;43296;-7106;88558;;;;;;;;38704;;;;;;;;;;-38704;;;;;;;30486;;;;;-30486;19368;;19368;213252;232620
805021161;31/12/2016;2016;6268;;87600;;;;;;;;;87600;88340;53229;-2991;-26320;-223888;;-17762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-17762;;-17762;35762;18000
805021170;31/12/2016;2016;1551011;669105;544182;;;;;;;-1279297;-689842;-755852;-1266369;-3635745;-77479;1036922;;292372;-2855140;;;;;;;3080813;;;180030;144952;;;;;;;3045735;1300000;;;;;14869095;14929729;;1405710;;-896500;-1062844;-872249;;-872249;1533098;660849
805021435;31/12/2016;2016;1035390;907130;1055339;;0;;;;;;;1962469;-1088885;-2274756;;-540800;21014;110820;-774748;;;;;;;;1194804;;;;;;;;;;-1194804;;;;;;;;663029;351000;;3099321;2085292;115740;;115740;79699;195439
805021699;31/12/2016;2016;34650;0;10158;0;0;0;0;0;0;0;0;10158;188266;-145991;19211;-72913;-72967;;-39586;0;0;0;0;0;0;0;3192;;12518;0;0;0;0;0;0;0;-15710;0;0;0;0;0;305291;307565;0;0;0;0;-2274;-57570;;-57570;137364;79794
805021982;31/12/2016;2016;631530;10441;;111192;;;;;;;-949;120684;;-121821;418;-403681;127879;-10441;344568;;;;;;;;;;;;;;;;;-98506;-98506;;;;;;;;;;;;;246062;;246062;223473;469535
805022056;31/12/2016;2016;954176;626676;54777;;;;;;;;;681453;-343671;-524907;;511123;-606812;-51800;619562;;;;;;;;146602;;;;;;;;;;-146602;;;;;;194805;;;499610;;;-304805;168155;;168155;;
805022153;31/12/2016;2016;189986;;34716;;;;;;;16312;;51028;-393193;338089;9280;63106;185325;23400;467021;;;;;;;;166324;;;;;292672;;;;;-458996;;;;;;;;;63959;;;-63959;-55934;;-55934;534583;478649
805022252;31/12/2016;2016;43489;;;;;6700;;;;;;6700;;;1045;3270;599;;55103;;;;;;;1494;3388;;;;;;;;192;13958;12256;;;;;;;;;;1821;;-1821;65538;;65538;22825;88363
805022296;31/12/2016;2016;3686833;;2741423;;;;;;;;;2741423;-871068;10578377;;7282006;-9642973;-425801;13348797;;;;;;;;1045333;;;;;;;;;;-1045333;;;;;;;;;;;;;12303464;;12303464;2087735;14391199
805022561;31/12/2016;2016;-160620;10825;112900;-9879;;;;354;;11942;-25942;100200;;139738;127436;-374251;-135427;;-302924;;;;;;;;11809;;2568;;;;15000;;;1386;2009;;;;;;513824;191596;;;28587;;293641;-7274;;-7274;63122;55848
805022659;31/12/2016;2016;64177;42649;50505;30186;;;;;;1982;;125322;;-17245;-11062;-22974;-72055;1;66164;;;;;;;5000;77126;;;;;;;;;-1689;-73815;;;;;;;;;;;3029;3029;-4622;;-4622;108013;103391
805022666;31/12/2016;2016;-4305;-2393;40812;0;100;0;0;0;0;0;2462;40981;0;-30605;0;170167;1479;0;177717;0;0;0;0;0;0;0;258855;0;0;0;0;0;0;0;0;0;-258855;0;0;0;0;0;0;0;0;0;0;81138;81138;0;9468;9468;19470;28938
805023006;31/12/2016;2016;426357;36318;24509;;;;;;;;274544;335371;68975;630922;-138950;-753087;-266391;-1182;302015;;;;;;;;4667;;27988;;;;;;;;-32655;;;;;;;439970;;100000;;;-539970;-270610;;-270610;493728;223118
805023132;31/12/2016;2016;292139;375321;131646;;270002;;;;;;-18585;758384;-4595;-1114715;432140;-38822;-263998;;60533;;;;;;;17264;;;;;;;;;;-75936;-58672;;;;;;931010;775356;;60000;;;95654;97515;;97515;768336;865851
805023550;31/12/2016;2016;35695;27154;8200;;;;;;;;;35354;;-2259;;3433;;;72223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18489;18489;90712;;90712;;
805023628;31/12/2016;2016;363107;364078;143910;-89234;;;;;;;;418754;-214802;-486500;;16187;3840994;;3937740;;;3832917;;;;;3778373;;;;;;;;;-3586333;-3531789;;;18504;;;;;;;;18504;0;405951;;405951;542230;948181
805023637;31/12/2016;2016;546197;;6821;-15708;302712;;;;;;;293825;;629637;;-1115333;29057;;383383;;;;;;;;56758;;;;;;;;;;-56758;;;;;;54417;;;;;;54417;381042;;381042;108647;489689
805023688;31/12/2016;2016;-7820;;;;;;;;;;;;;610344;;-9549;;;592975;;;;;;;;;;;;322000;;;;;;-322000;;;;;;330241;;;;;;330241;601216;;601216;7661;608877
805023691;31/12/2016;2016;-1251145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
805023859;31/12/2016;2016;-255401;-64384;85332;;;;;;;;;20948;;6196;346486;;;122744;240973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-241218;-241218;-245;;-245;2081;1836
805023996;31/12/2016;2016;23918;181938;128535;;;;;;;;;310473;;399031;-29186;330357;;35138;1069731;0;0;0;0;0;0;0;1561900;0;0;0;0;0;0;0;0;0;-1561900;0;0;0;0;0;533507;0;0;0;0;-39253;494254;2085;0;2085;0;2085
805024050;31/12/2016;2016;155075;51691;;;;1587;;;;;;53278;-338334;;-1633;;930989;;799375;;;;;;;;;;;;;;;;;-230021;-230021;;;;;;;;;;;;;569354;;569354;106794;676148
805024076;31/12/2016;2016;436252;179827;3796;;;;;-5507;;;;178116;-96168;;-17560;-28722;-643468;;-171550;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;-171550;;-171550;1995029;1823479
805024387;31/12/2016;2016;-515380;;2382;;;;;;;;166670;169052;671623;-131131;51322;-15291;89682;-5234;314643;;;;;;;;;;;;;;;;;-166670;-166670;;;;;;;150622;;;;;-150622;-2649;;-2649;29593;26944
805024419;31/12/2016;2016;-8685;;;;;;;;;;;;;-3490;;-49256;;-1898;-63329;;;8964846;;;;;;;;;;;;;;;8964846;;;8873172;;;;;;;;;-8873172;28345;;28345;625885;654230
805024462;31/12/2016;2016;310263;;;;171492;;;;;;;171492;;;1052348;54;-189329;-1272861;71967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71967;;71967;68285;140252
805024463;31/12/2016;2016;518802;23890;11830;;;;;;;;;35720;;-476106;-88104;;39750;;30062;;;;;;;19477;;;;;;;;;;;19477;;;;;;;;;48859;;;-48859;680;;680;46667;47347
805024493;31/12/2016;2016;61148;5032;315822;;;;;;;;;320854;17832;124831;;;;;524665;;;;;;;;;;;;;;;;;;;;;;;;543261;714966;;;;;-171705;352960;;352960;420785;773745
805024652;31/12/2016;2016;1010057;;;636350;40835;;;;;;;677185;-122866;-577606;-92552;-37649;26179;;882748;;;;;;;;973213;1171;;;;;;;;;-972042;;;;;;;;;;;;;-89294;;-89294;127411;38117
805024690;31/12/2016;2016;500710;231940;27960;10218;;;;;;;-922210;-652092;-292684;-68227;;-20307;-56847;217453;-371994;;;;;;;247000;189750;;;;;;;;;;57250;;;;;;245902;354317;;;;378541;270126;-44618;;-44618;204029;159411
805024696;31/12/2016;2016;619818;588777;179435;0;0;0;0;0;0;0;0;768212;72453;-713931;0;-1017864;-132991;-12939;-417242;0;0;0;0;0;0;0;272022;0;67015;0;0;0;0;0;0;0;-339037;300000;0;0;0;0;15833794;14326310;0;366593;0;66593;1507484;751205;;751205;2972058;3723263
805024857;31/12/2016;2016;58441;0;73391;0;0;0;0;0;0;0;0;73391;-1000;-63996;-40332;10062;-16655;0;19911;0;0;0;0;0;0;0;110413;0;0;0;0;0;0;0;0;0;-110413;0;0;0;0;0;75402;0;0;0;0;0;75402;-15100;0;-15100;120198;105098
805024902;31/12/2016;2016;-142153;;;;;;;;;;;;-220177;74718;-572950;90663;-22241;;-792140;;;;;;;309050;;;;;;;;;;;309050;500000;;;;;;;;;;;500000;16910;;16910;2142;19052
805025185;31/12/2016;2016;100295;24735;179478;0;0;0;0;0;0;0;0;204213;-1430;-7515;0;17138;-11833;15192;316060;;;;;;;;357526;;0;;;;;;;2942;-354584;;;;;;181274;200504;;;;;-19230;-57754;;-57754;119821;62067
805025187;31/12/2016;2016;76137;;47190;;;;;;;;;47190;;357139;;-68224;-15123;;397119;;;;;;;;438771;;;86600;84923;;;;;-14949;-452043;;;;;;;;;;;;;-54924;;-54924;419115;364191
805025449;31/12/2016;2016;601306;136910;34568;9216;;;;;;;;180694;452240;-1005973;123610;-287684;669557;-185890;547860;;;;;;;;22195;;15186;;;;;;;;-37381;;;;;;;;;217190;;-312533;-529723;-19244;;-19244;486046;466802
805025457;31/12/2016;2016;-6599;;14517;;;;;;;;;14517;;10419;;;-19248;;-911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-911;;-911;921;10
805025495;31/12/2016;2016;137284;142472;172505;0;0;166961;0;0;0;0;0;481938;-62545;-776913;0;-85714;38264;432117;164431;0;0;0;0;0;0;0;129990;0;0;0;0;0;0;0;0;0;-129990;0;0;0;0;0;0;0;0;0;0;607221;607221;641662;0;641662;275345;917007
805025557;31/12/2016;2016;130818;-6405;109426;12450;122962;;0;0;0;46;;238479;-54120;776907;-234924;-268597;-146334;33735;475964;;;;;;;15031;;;;;;;;;;;15031;;;;;;25450;;;450235;;;-424785;66210;;66210;55993;122203
805025561;31/12/2016;2016;277822;70118;19000;;;;;;;;;89118;47121;-15973;-208080;;;649196;839204;;;;;;;;;;;;;;;;;4896;4896;;;364059;;;;;;;;-333717;-697776;146324;;146324;645696;792020
805025939;31/12/2016;2016;-917624;;15270;;338089;;;;;;503898;857257;;5021;;28330;27016;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;255;255
805025961;31/12/2016;2016;457544;;;;;;;;;;;;-1797167;-2564838;;1647679;;448516;-1808266;;;;;;;;81075;;;;;;;;;;-81075;;;;;;1935822;;;;;;1935822;46481;;46481;407300;453781
805026007;31/12/2016;2016;-4088;;68262;;;;;;;;;68262;124398;-295198;;;;772;-105854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-105854;;-105854;181358;75504
805026021;31/12/2016;2016;1841093;1290253;815041;;0;;586963;;;285177;;2977434;-1362623;-4519349;;1915699;-937705;-22855;-108306;;;;;;;;3607584;;139042;;;;;;;;-3746626;;;;;;18569145;13067609;;446387;;-271598;4783551;928619;;928619;378372;1306991
805026175;31/12/2016;2016;1281;;1308;;8481;;;;;;;9789;2748389;;;-2077972;;-661923;19564;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19564;;19564;57342;76906
805026500;31/12/2016;2016;3287762;;;;;;;;;;;;2932657;-34848500;22634502;;17659186;-7714;11657893;;;;;;;;414131;;;;;;;;;45352;-368779;;;;;;;;;1493445;;;-1493445;9795669;;9795669;15710116;25505785
805026612;31/12/2016;2016;175501;105626;38880;;41842;;;;;;;186348;-17847;-243661;-209385;;20543;37500;-51001;;;;;;;;38871;;;;;;;;;;-38871;;;;;;;;;;;;;-89872;;-89872;522002;432130
805026706;31/12/2016;2016;-208478;;307835;;0;;;6462;;;;314297;-20910;-24972;;;-396336;;-336399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-336399;;-336399;936912;600513
805026940;31/12/2016;2016;376780;356098;153862;;30139;;;;;;;540099;-66312;-59403;;-32792;-189532;-183704;385136;;;;;;;;36284;;;;;;;;;;-36284;;;;;;;245894;;;;;-245894;102958;;102958;58241;161199
805027240;31/12/2016;2016;553681;0;288519;-64189;0;-92062;0;0;0;0;-21043;111225;-561723;-1241413;0;883551;-227272;0;-481951;0;0;0;0;0;0;0;10214;0;39660;0;0;0;0;0;0;0;-49874;0;0;0;0;0;981651;0;0;258591;0;0;723060;191235;;191235;433606;624841
805027305;31/12/2016;2016;232037;;59297;;40416;;;;;;;99713;278350;-618751;;967084;;23677;982110;;;;;;;;43904;10797;;;;;;;;;-33107;;;;;;604985;;;;;;604985;1553988;;1553988;440351;1994339
805027474;31/12/2016;2016;-63586;;62609;;;;;;;;;62609;;-217354;112370;524775;-539207;;-120393;;;;;;;;2448;;;;;;;;;;-2448;;;;;;;;;;;;;-122841;;-122841;124624;1783
805027639;31/12/2016;2016;234690;;;;;;;;;;;;;15581397;0;55314469;;-9341;71121215;;;;;;;;;;;;;;;;;-71115301;-71115301;0;0;5914;0;0;0;0;0;0;0;0;-5914;0;;0;3174;3174
805027653;31/12/2016;2016;1204034;;1303769;;;;;;;;;1303769;-6258328;-646273;-114634;3354664;8298448;143771;7285451;;;;;;;;6348683;;258011;;484193;;;;;;-7090887;1600000;600000;;;;;;;;;-2862;997138;1191702;;1191702;1199192;2390894
805027728;31/12/2016;2016;96060;;;;;;;;;;;;;;;;;-99424;-3364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3364;;-3364;432004;428640
805027905;31/12/2016;2016;228932;;;;;;;;;;;;;-126594;;;-88710;;13628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13628;;13628;;
805027906;31/12/2016;2016;56556;;;;;;;;;;;;;-295564;;311776;;;72768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72768;;72768;;
805027939;31/12/2016;2016;194086;114668;195098;0;0;0;0;0;0;0;111736;421502;-620830;558236;0;-539393;-198558;-183833;-368790;0;0;0;0;0;0;0;798937;458;0;0;0;0;0;0;0;-411;-798890;0;0;0;0;0;1236417;0;0;0;0;0;1236417;68737;0;68737;312982;381719
805027958;31/12/2016;2016;488719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
805027970;31/12/2016;2016;-21606127;-4757958;3869417;859412;28479;;;;;;-6348002;-6348652;18300;241093360;-14059227;-608961;17931803;-30311042;186109454;;;;;;;;3132100;;185252;;;;;;;;-3317352;;;;;;54200000;59634904;;214854832;;;-220289736;-37497634;;-37497634;42023729;4526095
805027987;31/12/2016;2016;461130;;78262;29839;;;;;;;;108101;-1036819;;-1147098;;421556;-66315;-1259445;;;;;;;;10388;;;;;;;;;7770;-2618;400000;;;;;2565823;1408702;;;;;1557121;295058;;295058;511429;806487
805027988;31/12/2016;2016;41766;188948;3041767;-22922;0;0;0;0;0;0;0;3207793;2083834;1029460;0;1407292;0;0;7770145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206846;0;0;-8335148;-8541994;-771849;0;-771849;1542104;770255
805028087;31/12/2016;2016;4992554;-749367;107157;0;0;245567;0;-1475579;0;-147226;-281929;-2301377;-552048;-864076;-1659502;5105636;-416246;0;4304941;0;0;0;0;0;0;3621000;7185133;0;0;3500;0;0;0;0;0;0;-3560633;0;0;0;0;0;0;0;0;1400000;0;-19449;-1419449;-675141;0;-675141;936247;261106
805028121;31/12/2016;2016;108290;;;;;;;;;;;;100937;1510473;;-1009467;-673854;-4667;31712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31712;;31712;98554;130266
805028138;31/12/2016;2016;50803;;28867;;422927;;;;;;;451794;659505;948365;-736765;-446367;-487757;211411;650989;;;;;;;;386093;;;;;;;;;;-386093;;;;;;;;115032;;;;-115032;149864;;149864;337893;487757
805028395;31/12/2016;2016;-510176;;182424;;;;;;;;-120678;61746;118281;;-296408;;36021;-15179;-605715;;;;;;;;21524;;;;;;;;;-384;-21908;;;;;;;;;;;630487;630487;2864;;2864;7117;9981
805028610;31/12/2016;2016;577920;12595;;;;;;;;;;12595;;;;;;-2006175;-1415660;;;;;;;;18827;;803419;;;;;;;;-822246;;;;;;247617;;;;;1746295;1993912;-243994;;-243994;1033774;789780
805028705;31/12/2016;2016;1003251;610873;143463;34493;;;;-86172;;;43752;746409;-2592487;-516271;;1522372;-430050;37115;-229661;;;;;;;;1575927;;;;;;;;;;-1575927;;;;;;;134575;;;;2122556;1987981;182393;;182393;71785;254178
805028764;31/12/2016;2016;266617;40514;28773;;;;;;;231335;-427774;-127152;;-522915;;-19116;2815;-42122;-441873;;;;;;;;;;;589382;128953;;;;;-7547;452882;;;;;;;;;;;;;11009;;11009;20754;31763
805028991;31/12/2016;2016;1810908;;1551008;;;;;;;;;1551008;-1163271;-787719;;1163794;313783;;2888503;;;;;;;744615;841930;;;;;103631;;;;;-200946;;;;;;207705;2335710;;;;;-2128005;559552;;559552;3080931;3640483
805029025;31/12/2016;2016;80273;72528;;;;;;;;;;72528;-22155;-1884556;;-1580757;;;-3334667;;;;;;;350000;;;;;;;;;;;350000;;;;;;;;;;104624;;-104624;-3089291;;-3089291;3089957;666
805029104;31/12/2016;2016;-93233;;214364;;56868;;;;;;;271232;78020;81766;;257601;-171033;13191;437544;;;;;;;;318396;;;;;;;;;-5677;-324073;150570;;;;;;;;;;-244852;-94282;19189;;19189;65040;84229
805029191;31/12/2016;2016;48;;;;;;;;;;;;;-14;;4;;;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;;38;3947;3985
805029389;31/12/2016;2016;339765;-111644;153547;1707;;;;;;;;43610;282896;-1814508;;588312;;;-559925;;;;;;;;203423;;;;;;;;;;-203423;;;;;;100086;1297258;;;;;-1197172;-1960520;;-1960520;;
805029893;31/12/2016;2016;39612;23177;;;;;;;;;-2050458;-2027281;882493;242195;-88503;808308;208742;;65566;;;;;;;;;;;;;;;;;;;;;;;;;132896;;;;;-132896;-67330;;-67330;89229;21899
805029905;31/12/2016;2016;1429042;0;51501;0;0;0;0;0;0;0;0;51501;9521571;-2684566;0;0;-204102;-1202751;6910695;0;0;0;0;0;0;0;25252;0;0;0;0;0;0;0;0;0;-25252;0;0;0;0;0;0;0;0;0;0;-6848779;-6848779;36664;0;36664;2050;38714
805029921;31/12/2016;2016;-20226;2298;;;;;;;;;-1527;771;;24537;;-3917;;;1165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1165;;1165;2984;4149
805030067;31/12/2016;2016;131014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
805030332;31/12/2016;2016;-329034;107608;0;56736;0;0;0;0;0;111043;226784;502171;0;2897538;136360;0;0;-3936326;-729291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2823867;-2823867;0;0;0;0;0;0;0;0;0;0;0;0;-3553158;0;-3553158;4228079;674921
805030512;31/12/2016;2016;135493;-74705;896;;;;;;;;;-73809;20893;-67209;;;;107040;122408;;;;;;;;5390;;;;;;;;;;-5390;;;;;;;;;;;;;117018;;117018;130421;247439
805030587;31/12/2016;2016;616307;;;;;;;;;;;;;-4629913;2468248;-518476;-93323;;-2157157;;;;;;;;189013;;;;;;;;;;-189013;2954388;;;;;;514822;;;;;2439566;93396;;93396;233146;326542
805030670;31/12/2016;2016;461389;;126491;;;;;;;;;126491;458912;1260522;;-1400700;;-1314348;-407734;;;;;;;;3179;;21124;;12383;16144;;;;;-52830;;;;;;;;;500000;;;-500000;-960564;;-960564;2115008;1154444
805030706;31/12/2016;2016;248410;;335428;0;53366;0;0;6381;0;179580;;574755;-414267;-4995462;;34786;491234;-132466;-4193010;0;0;0;159438;0;0;;1845150;;191103;;;;;;;;-2195691;;;;;;5218013;;;;;;5218013;-1170688;;-1170688;1396241;225553
805030992;31/12/2016;2016;320161;185894;8732;16;;5181;519984;;;;;719807;-388846;;;-243495;-303863;0;103764;;;;;;;;;;;;;;;;;;;;;;;;392362;;;;;;392362;496126;;496126;1040382;1536508
805031097;31/12/2016;2016;-3651988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
805031242;31/12/2016;2016;26829;22352;24418;;;128520;;;;;;;-3629809;870383;;-561533;1659380;-1825;;;;;;;;;;;;;;;;;;141657;;;;;;;;;408312;;;;;;;;;
805031278;31/12/2016;2016;-330922;151923;267953;1907;;;;;;;;421783;-74744;-81569;71273;92367;-13579;-27698;56911;;;;;;;;551;;;;;;;;;;-551;;;;;;155187;197431;;;;-37634;-79878;-23518;;-23518;25044;1526
805031358;31/12/2016;2016;1186660;809031;173724;25697;0;0;0;0;0;0;330173;1338625;-421104;-398278;7261;-252459;-111256;-525492;823957;0;0;0;0;0;0;0;826704;0;695;0;0;0;0;0;0;-20555;-847954;0;0;0;0;0;679670;0;0;1100575;0;0;-420905;-444902;0;-444902;800170;355268
805031447;31/12/2016;2016;194896;0;0;0;0;0;0;0;0;0;0;0;0;-191553;0;6967;0;;10310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10310;0;0;0;0;0;0;-10310;0;0;0;0;0
