Nit;Fecha Corte;Duracion;Ganancia (pérdida);Otro resultado integral, neto de impuestos, ganancias (pérdidas) por revaluación;Total otro resultado integral que no se reclasificará al resultado del periodo, neto de impuestos;Total otro resultado integral;Resultado integral total;Otro resultado integral, neto de impuestos, diferencias de cambio por conversión;Otro resultado integral, neto de impuestos, ganancias (pérdidas) actuariales por planes de beneficios definidos;Ganancias (pérdidas) por coberturas de flujos de efectivo, neto de impuestos;Total otro resultado integral que se reclasificará al resultado del periodo, neto de impuestos
800010724;31/12/2016;2016;-1491072;;;;;;;;
800010792;31/12/2016;2016;-67556;;;;;;;;
800010923;31/12/2016;2016;96792;;;;96792;;;;
800010950;31/12/2016;2016;781978;;7241164;7241164;8023142;7241164;;;
800011008;31/12/2016;2016;-44867;;;;;;;;
800011161;31/12/2016;2016;398360;;;-111978;286382;;;-111978;-111978
800011170;31/12/2016;2016;982876;;-113181;-113181;869695;-113181;;;
800011205;31/12/2016;2016;863447;0;0;0;863447;0;0;0;0
800011207;31/12/2016;2016;625917;;;-24882;601035;;;-24882;-24882
800011325;31/12/2016;2016;29300;0;0;0;29300;0;0;0;0
800011566;31/12/2016;2016;104609;;;;;;;;
800011797;31/12/2016;2016;158056;;;;;;;;
800011815;31/12/2016;2016;779378;0;0;0;779378;0;0;0;0
800011817;31/12/2016;2016;47178;;;;;;;;
800011874;31/12/2016;2016;266803;0;0;0;266803;0;0;0;0
800011951;31/12/2016;2016;479333;;;;;;;;
800012173;31/12/2016;2016;677715;;;;;;;;
800012181;31/12/2016;2016;50922;;;;;;;;
800012186;31/12/2016;2016;106614;;;;;;;;
800012292;31/12/2016;2016;107012;;0;0;107012;0;;;
800012310;31/12/2016;2016;57163;0;0;0;57163;0;0;0;
800012335;31/12/2016;2016;110958;0;0;0;110958;0;0;0;0
800012547;31/12/2016;2016;516199;;;;516199;;;;
800012778;31/12/2016;2016;672070;;;;;;;;
800012797;31/12/2016;2016;513163;0;0;216546;729709;0;0;216546;216546
800012833;31/12/2016;2016;139279;;;;139279;;;;
800012870;31/12/2016;2016;98333;0;0;0;98333;0;0;0;0
800012888;31/12/2016;2016;376878;3529347;3529347;3529347;3906225;;;;
800013052;31/12/2016;2016;51547;;;;;;;;
800013148;31/12/2016;2016;152566;;;;152566;;;;
800013207;31/12/2016;2016;-502781;;;;;;;;
800013331;31/12/2016;2016;607233;;;;;;;;
