Nit;Fecha Corte;Duracion;Ganancia (pérdida);Otro resultado integral, neto de impuestos, ganancias (pérdidas) por revaluación;Total otro resultado integral que no se reclasificará al resultado del periodo, neto de impuestos;Total otro resultado integral;Resultado integral total;Otro resultado integral, neto de impuestos, diferencias de cambio por conversión;Otro resultado integral, neto de impuestos, ganancias (pérdidas) actuariales por planes de beneficios definidos;Ganancias (pérdidas) por coberturas de flujos de efectivo, neto de impuestos;Total otro resultado integral que se reclasificará al resultado del periodo, neto de impuestos
830029241;31/12/2016;2016;-38780;0;0;0;-38780;0;0;0;0
830029582;31/12/2016;2016;2580802;;;;2580802;;;;
830029689;31/12/2016;2016;-273;;;;;;;;
830029900;31/12/2016;2016;-578125;;;;;;;;
830029932;31/12/2016;2016;346556;;;;;;;;
830030011;31/12/2016;2016;-304558;;10010714;10010714;9706156;10010714;;;
830030037;31/12/2016;2016;952958;;;;;;;;
830030133;31/12/2016;2016;-25086;0;0;0;-25086;0;0;0;0
830030247;31/12/2016;2016;27086;;;;;;;;
830030281;31/12/2016;2016;-79052;;10046;10046;-69006;10046;;;
830030479;31/12/2016;2016;204340;;;;;;;;
830030507;31/12/2016;2016;223025;0;0;0;223025;0;0;0;0
830030718;31/12/2016;2016;92302;;;;;;;;
830030801;31/12/2016;2016;855414;;;;;;;;
830030880;31/12/2016;2016;2129674;;;;;;;;
830031049;31/12/2016;2016;14595;;;;;;;;
830031070;31/12/2016;2016;162877;0;0;0;162877;0;0;0;0
830031092;31/12/2016;2016;82692;402538;402538;402538;485230;0;0;0;0
830031163;31/12/2016;2016;-68800;;;;;;;;
830031182;31/12/2016;2016;1524477;0;0;0;1524477;0;0;;
830031296;31/12/2016;2016;129292;;;;;;;;
830031337;31/12/2016;2016;39838;0;0;0;39838;0;0;0;0
830031497;31/12/2016;2016;649935;;;;649935;;;;
830031583;31/12/2016;2016;177253;;;;;;;;
830031855;31/12/2016;2016;1003982;;;;;;;;
830031936;31/12/2016;2016;296085;;;;296085;;;;
830031937;31/12/2016;2016;485830;;;;;;;;
830032058;31/12/2016;2016;205098;;;;205098;;;;
830032102;31/12/2016;2016;750005;;6573;6573;756578;;6573;;
830032216;31/12/2016;2016;139991;;;;;;;;
830032256;31/12/2016;2016;377917;;;;;;;;
830032370;31/12/2016;2016;329536;;;;329536;;;;
830032436;31/12/2016;2016;1929081;;;;1929081;;;;
830032486;31/12/2016;2016;200438;;;0;200438;;;0;0
830032515;31/12/2016;2016;427316;;;;;;;;
830032573;31/12/2016;2016;-159884;0;0;0;-159884;0;0;0;0
830032755;31/12/2016;2016;506806;0;0;0;506806;0;0;0;0
830032794;31/12/2016;2016;-13034;;;;;;;;
830032812;31/12/2016;2016;124732;;;;;;;;
830032829;31/12/2016;2016;50436;;;;;;;;
830032912;31/12/2016;2016;-521385;;;;;;;;
830032950;31/12/2016;2016;-331458;;;;;;;;
830033050;31/12/2016;2016;128610;;;;;;;;
830033133;31/12/2016;2016;67054;;;;;;;;
830033177;31/12/2016;2016;734152;;-59641;-59641;674511;;-59641;;
830033243;31/12/2016;2016;41665;;;;;;;;
830033257;31/12/2016;2016;54332;;;;54332;;;;
830033279;31/12/2016;2016;3465485;0;0;0;3465485;0;0;0;0
830033294;31/12/2016;2016;20503;;;;;;;;
830033451;31/12/2016;2016;164340;;;;;;;;
830033457;31/12/2016;2016;166672;;;;;;;;
830033494;31/12/2016;2016;3175674;0;0;0;3175674;0;0;0;0
830033639;31/12/2016;2016;140641;;;;140641;;;;
830033642;31/12/2016;2016;517626;0;0;0;517626;0;0;;
830033672;31/12/2016;2016;3338119;;;;;;;;
830033765;31/12/2016;2016;657835;;;;657835;;;;
830033825;31/12/2016;2016;222155;;;;;;;;
830033860;31/12/2016;2016;490305;;;;;;;;
830034002;31/12/2016;2016;1563703;;;;1563703;;;;
830034128;31/12/2016;2016;582186;;;;582186;;;;
830034264;31/12/2016;2016;414323;;;;;;;;
830034285;31/12/2016;2016;150109;0;0;0;150109;0;0;0;0
830034319;31/12/2016;2016;446853;0;0;0;446853;0;0;0;0
830034343;31/12/2016;2016;722141;;;;;;;;
830034462;31/12/2016;2016;1119324;;0;0;1119324;;;;0
830034891;31/12/2016;2016;323770;;;;;;;;
830034964;31/12/2016;2016;1924;;;;;;;;
830035097;31/12/2016;2016;-115936;;;;;;;;
830035105;31/12/2016;2016;1026776;0;0;0;1026776;0;0;0;0
830035116;31/12/2016;2016;159346;0;0;0;159346;0;0;0;0
830035143;31/12/2016;2016;103487;;;;;;;;
830035175;31/12/2016;2016;7269;;;;7269;;;;
830035306;31/12/2016;2016;114192;;;;;;;;
830035316;31/12/2016;2016;701359;0;0;0;701359;0;0;0;0
830035404;31/12/2016;2016;103853;;;;;;;;
830035416;31/12/2016;2016;681410;;;;681410;;;;
830035498;31/12/2016;2016;146623;;;;;;;;
830035679;31/12/2016;2016;215562;;;;;;;;
830035723;31/12/2016;2016;4891509;;;;;;;;
830035843;31/12/2016;2016;102091;;;;;;;;
830035895;31/12/2016;2016;-537408;;;;;;;;
830035993;31/12/2016;2016;53612;;;;;;;;
830036334;31/12/2016;2016;255485;;;;;;;;
830036351;31/12/2016;2016;671308;;;;671308;;;;
830036557;31/12/2016;2016;2676368;;;;;;;;
830036680;31/12/2016;2016;1477020;0;0;0;1477020;0;0;0;0
830036769;31/12/2016;2016;123403;;;;;;;;
830036815;31/12/2016;2016;144458;;;;144458;;;;
830036832;31/12/2016;2016;1080447;;;;;;;;
830036858;31/12/2016;2016;-387950;;;;-387950;;;;
830036940;31/12/2016;2016;1259093;0;0;0;1259093;0;0;0;0
830037039;31/12/2016;2016;586142;;;;586142;;;;
830037203;31/12/2016;2016;195707;0;0;0;195707;0;0;0;0
830037278;31/12/2016;2016;486216;424687;490738;490738;976954;66051;;;
830037318;31/12/2016;2016;296750;;;;296750;;;;
830037322;31/12/2016;2016;291338;;;;;;;;
830037490;31/12/2016;2016;150894;;;;;;;;
830037497;31/10/2016;2015-2016;6131389;;;;6131389;;;;
830037497;31/12/2016;2016-ene-01 / 2016-oct-31;6131389;;;;6131389;;;;
830037497;31/12/2016;2016-Q4;-1293686;0;0;0;-1293686;0;0;0;0
830037833;31/12/2016;2016;-670696;0;0;0;-670696;0;0;0;0
830037895;31/12/2016;2016;-72629;;;;-72629;;;;
830037960;31/12/2016;2016;335472;;;;;;;;
830037966;31/12/2016;2016;239690;;;;;;;;
830037970;31/12/2016;2016;455849;;;;;;;;
830038005;31/12/2016;2016;215550;;;;;;;;
830038057;31/12/2016;2016;-1091194;;;;;;;;
830038080;31/12/2016;2016;243820;;;;;;;;
830038112;31/12/2016;2016;458987;;;;;;;;
830038152;31/12/2016;2016;132928;0;0;0;132928;0;0;0;0
830038182;31/12/2016;2016;470621;;;;;;;;
830038304;31/12/2016;2016;95134;;;;95134;;;;
830038319;31/12/2016;2016;103674;;;;103674;;;;
830038379;31/12/2016;2016;389783;;;;;;;;
830038444;31/12/2016;2016;776336;;;;;;;;
830038502;31/12/2016;2016;-5507128;;;;;;;;
830038515;31/12/2016;2016;1041354;;;;;;;;
830038560;31/12/2016;2016;-138339;0;0;0;-138339;0;0;0;0
830038658;31/12/2016;2016;297230;0;0;0;297230;0;0;0;0
830038733;31/12/2016;2016;490165;;;;;;;;
830038757;31/12/2016;2016;873309;0;0;0;873309;0;0;0;0
830038793;31/12/2016;2016;191533;;;;;;;;
830038852;31/12/2016;2016;417366;;305298;305298;722664;305298;;;
830038886;31/12/2016;2016;811913;;;;811913;;;;
830039014;31/12/2016;2016;-587626;;;;;;;;
830039018;31/12/2016;2016;232672;;;78540;311212;;;78540;78540
830039025;31/12/2016;2016;341269;;;;;;;;
830039109;31/12/2016;2016;760193;;;;760193;;;;
830039118;31/12/2016;2016;-193359;;;;-193359;;;;
830039311;31/12/2016;2016;6454411;0;0;0;6454411;0;0;0;0
830039332;31/12/2016;2016;-114559;;;;-114559;;;;
830039391;31/12/2016;2016;288343;-1610;-1610;-1610;286733;;;;
830039405;31/12/2016;2016;249772;0;0;0;249772;0;0;0;0
830039485;31/12/2016;2016;200090;;;;;;;;
830039525;31/12/2016;2016;68498;0;0;0;68498;0;0;0;0
830039532;31/12/2016;2016;543011;;;;;;;;
830039537;31/12/2016;2016;2639587;;;;2639587;;;;
830039572;31/12/2016;2016;57204;;0;0;57204;0;0;;
830039616;31/12/2016;2016;-132281;0;34446;34446;-97835;34446;0;0;0
830039633;31/12/2016;2016;-39714;;;;;;;;
830039764;31/12/2016;2016;123958;0;0;0;123958;0;0;0;0
830039773;31/12/2016;2016;411183;;;;;;;;
830039775;31/12/2016;2016;119803;0;0;0;119803;0;0;0;0
830039811;31/12/2016;2016;570164;;;;;;;;
830039815;31/12/2016;2016;191084;;;;;;;;
830039826;31/12/2016;2016;207812;;;;;;;;
830039854;31/12/2016;2016;6671741;;;;;;;;
830040045;31/12/2016;2016;1231420;;;;;;;;
830040168;31/12/2016;2016;7502;;;;;;;;
830040184;31/12/2016;2016;303281;;;;;;;;
830040209;31/12/2016;2016;2380203;;;;2380203;;;;
830040274;31/12/2016;2016;327230;0;0;0;327230;0;0;0;0
830040274;31/12/2016;2015-ene-01 / 2016-dic-31;;;;0;0;;;;0
830040332;31/12/2016;2016;715928;;;;;;;;
830040359;31/12/2016;2016;57924;;;;;;;;
830040516;31/12/2016;2016;1364924;;;;1364924;;;;
830040574;31/12/2016;2016;1058214;;;;1058214;;;;
830040752;31/12/2016;2016;-79403;;;;-79403;;;;
830040836;31/12/2016;2016;110303;;;;;;;;
830041055;31/12/2016;2016;216610;;;;;;;;
830041080;31/12/2016;2016;1188602;;;;;;;;
830041128;31/12/2016;2016;168656;;;;;;;;
830041169;31/12/2016;2016;-71208;;;;;;;;
830041403;31/12/2016;2016;201932;;;;;;;;
830041411;31/12/2016;2016;641574;-350000;;;641574;;0;;
830041488;31/12/2016;2016;3269965;0;0;0;3269965;0;0;0;0
830041577;31/12/2016;2016;566556;;;;;;;;
830041600;31/12/2016;2016;110101;;;;;;;;
830041679;31/12/2016;2016;20451;;;;;;;;
830041702;31/12/2016;2016;46136;;;;;;;;
830041730;31/12/2016;2016;-196800;;;;;;;;
830041766;31/12/2016;2016;35536;;;;;;;;
830041829;31/12/2016;2016;748276;0;748276;748276;1496552;748276;0;0;0
830041905;31/12/2016;2016;406436;;-52766;-52766;353670;;;;
830041942;31/12/2016;2016;264046;;;;;;;;
830042212;31/12/2016;2016;7084442;;;;;;;;
830042505;31/12/2016;2016;-154561;;;0;-154561;;;0;0
830042614;31/12/2016;2016;135137;;;;135137;;;;
830042619;31/12/2016;2016;340515;0;0;0;340515;0;0;0;0
830042687;31/12/2016;2016;-583913;;;;;;;;
830042746;31/12/2016;2016;102557;;;;;;;;
830042755;31/12/2016;2016;59817;;-6;-6;59811;-6;;;
830042822;31/12/2016;2016;720390;0;0;0;720390;0;0;0;0
830042921;31/12/2016;2016;286285;110253;110253;110253;396538;;;;
830042949;31/12/2016;2016;-822367;;;;-822367;;;;
830043063;31/12/2016;2016;994120;;;;;;;;
830043073;31/12/2016;2016;-96004;;;;;;;;
830043095;31/12/2016;2016;-41084;;;;;;;;
830043114;31/12/2016;2016;180077;;;;180077;;;;
830043252;31/12/2016;2016;20395741;;;;;;;;
830043325;31/12/2016;2016;44845;;;;44845;;;;
830043332;31/12/2016;2016;245061;;;;;;;;
830043378;31/12/2016;2016;11889;;;;;;;;
830043390;31/12/2016;2016;628866;0;0;0;628866;0;0;0;0
830043424;31/12/2016;2016;1049856;0;0;0;1049856;0;0;0;0
830043645;31/12/2016;2016;-1291;;;;;;;;
830043710;31/12/2016;2016;469293;0;0;0;469293;0;0;0;0
830043792;31/12/2016;2016;-13037;;;;;;;;
830043961;31/12/2016;2016;280778;;;;;;;;
830044208;31/12/2016;2016;-10335;;;;;;;;
830044223;31/12/2016;2016;140392;0;0;0;140392;0;0;0;0
830044394;31/12/2016;2016;1998904;;;;;;;;
830044545;31/12/2016;2016;791836;;;;791836;;;;
830044682;31/12/2016;2016;180584;;;;;;;;
830044783;31/12/2016;2016;548291;;;;;;;;
830044820;31/12/2016;2016;59203;;;;;;;;
830044858;31/12/2016;2016;2515675;0;0;0;2515675;0;0;0;0
830044867;31/12/2016;2016;267544;;;;;;;;
830044885;31/12/2016;2016;609551;;;;609551;;;;
830044925;31/12/2016;2016;1480565;6065;6065;6065;1486630;;;0;0
830044977;31/12/2016;2016;741997;;;;;;;;
830045053;31/12/2016;2016;2218998;;;;2218998;;;;
830045080;31/12/2016;2016;693571;;;;;;;;
830045178;31/12/2016;2016;100487;;;;100487;;;;
830045181;31/12/2016;2016;782928;;;;;;;;
830045236;31/12/2016;2016;-812425;;;;;;;;
830045253;31/12/2016;2016;846327;;;;;;;;
830045278;31/12/2016;2016;388815;;;;;;;;
830045306;31/12/2016;2016;-9016;;;;-9016;;;;
830045448;31/12/2016;2016;376611;;;;;;;;
830045523;31/12/2016;2016;292749;0;0;0;292749;0;0;0;0
830045565;31/12/2016;2016;-10904;;;;;;;;
830045641;31/12/2016;2016;-130459;;;;;;;;
830045691;31/12/2016;2016;-9082;;;;;;;;
830045782;31/12/2016;2016;-1277069;;;;;;;;
830045825;31/12/2016;2016;266484;;;;266484;;;;
830045893;31/12/2016;2016;1329666;;;;;;;;
830046054;31/12/2016;2016;132792;;;;;;;;
830046088;31/12/2016;2016;95863;;-973246;-973246;-877383;-973246;;;
830046136;31/12/2016;2016;940701;0;0;0;940701;0;0;0;0
830046267;31/12/2016;2016;-51893;;;;-51893;;;;
830046338;31/12/2016;2016;189070;;;;;;;;
830046427;31/12/2016;2016;2249332;;;;;;;;
830046430;31/12/2016;2016;144462;;;;;;;;
830046456;31/12/2016;2016;27269;;;;;;;;
830046495;31/12/2016;2016;82921;;;;;;;;
830046499;31/12/2016;2016;32993;;;;;;;;
830046537;31/12/2016;2016;244101;;;;;;;;
830046564;31/12/2016;2016;631432;0;296188;296188;927620;296188;;;
830046657;31/12/2016;2016;225821;;;;225821;;;;
830046757;31/12/2016;2016;1705331;;;;;;;;
830046764;31/12/2016;2016;203997;0;0;0;203997;0;0;0;0
830046791;31/12/2016;2016;-296201;;;;-296201;;;;
830046885;31/12/2016;2016;166300;-123689;-123689;-123689;42611;0;0;;
830046955;31/12/2016;2016;-1066659;;;;;;;;
830047021;31/12/2016;2016;619692;;;;;;;;
830047078;31/12/2016;2016;-1086263;0;0;0;-1086263;0;0;0;0
830047105;31/12/2016;2016;138909;;;;;;;;
830047108;31/12/2016;2016;911320;;;;;;;;
830047272;31/12/2016;2016;330861;;;;;;;;
830047347;31/12/2016;2016;-176584;;;;;;;;
830047431;31/12/2016;2016;8496;;;;;;;;
830047455;31/12/2016;2016;1255862;0;0;0;1255862;0;0;0;0
830047479;31/12/2016;2016;43642;0;0;0;43642;0;0;0;0
830047489;31/12/2016;2016;242509;;;;242509;;;;
830047537;31/12/2016;2016;3272067;;;;3272067;;;;
830047538;31/12/2016;2016;120272;0;0;0;120272;0;0;0;0
830047743;31/12/2016;2016;1948995;;;;;;;;
830047813;31/12/2016;2016;273401;;;;;;;;
830047891;31/12/2016;2016;1018304;;;;;;;;
830047986;31/12/2016;2016;6115;;;;;;;;
830047991;31/12/2016;2016;1845458;;;;1845458;;;;
830048326;31/12/2016;2016;369766;;;;;;;;
830048425;31/12/2016;2016;1895607;;;;;;;;
830048430;31/12/2016;2016;-41222;;;;;;;;
830048452;31/12/2016;2016;493864;;;;493864;;;;
830048588;31/12/2016;2016;781367;0;0;0;781367;0;0;0;0
830048654;31/12/2016;2016;-235488;;29637;29637;-205851;29637;;;
830048660;31/12/2016;2016;185678;;;;;;;;
830048718;31/12/2016;2016;382325;;;;;;;;
830048751;31/12/2016;2016;989787;;;;;;;;
830048811;31/12/2016;2016;239879;;;;;;;;
830048838;31/12/2016;2016;31012;;;;;;;;
830048983;31/12/2016;2016;2;;;;;;;;
830048991;31/12/2016;2016;847541;0;0;0;847541;0;0;0;0
830048998;31/12/2016;2016;1759131;;;;1759131;;;;
830049026;31/12/2016;2016;-10337;0;0;0;-10337;0;0;0;0
830049122;31/12/2016;2016;262840;;;;262840;;;;
830049138;31/12/2016;2016;-340895;;;;;;;;
830049158;31/12/2016;2016;441080;;;;;;;;
830049221;31/12/2016;2016;578184;0;0;0;578184;0;0;0;0
830049344;31/12/2016;2016;455517;;;;;;;;
830049428;31/12/2016;2016;2070;;;;2070;;;;
830049429;31/12/2016;2016;-108496;19192;19192;19192;-89304;;;;
830049459;31/12/2016;2016;61463;120100;120100;120100;181563;;;;
830049539;31/12/2016;2016;11790;0;0;0;11790;0;0;0;0
830049630;31/12/2016;2016;751983;;;;;;;;
830049724;31/12/2016;2016;211669;;;;;;;;
830049786;31/12/2016;2016;180327;;;;;;;;
830049916;31/12/2016;2016;4082357;;;;;;;;
830049948;31/12/2016;2016;1814531;;;;;;;;
830050198;31/12/2016;2016;140476;;;;;;;;
830050204;31/12/2016;2016;147041;;-69773;-69773;77268;-69773;;;
830050213;31/12/2016;2016;322799;;;;322799;;;;
830050256;31/12/2016;2016;2051608;;;;;;;;
830050405;31/12/2016;2016;3671171;;;;3671171;;;;
830050476;31/12/2016;2016;673387;;;;;;;;
830050499;31/12/2016;2016;572230;;;;;;;;
830050590;31/12/2016;2016;59492;;;;;;;;
830050604;31/12/2016;2016;2851827;;;;2851827;;;;
830050631;31/12/2016;2016;411733;;;;;;;;
830050654;31/12/2016;2016;-12303;;;;;;;;
830050737;31/12/2016;2016;33285;;;;;;;;
830050838;31/12/2016;2016;348209;;;;;;;;
830050856;31/12/2016;2016;2225685;0;0;0;2225685;0;0;0;0
830050873;31/12/2016;2016;473460;;0;0;473460;0;0;0;0
830050885;31/12/2016;2016;152327;14999;14999;14999;167326;;;;
830050943;31/12/2016;2016;-215867;;;;-215867;;;;
830050992;31/12/2016;2016;127678;;;;;;;;
830051000;31/12/2016;2016;263847;;;;;;;;
830051015;31/12/2016;2016;266972;0;0;0;266972;0;0;0;0
830051028;31/12/2016;2016;350550;109791;109791;109791;460341;;;;
830051199;31/12/2016;2016;-133002;;;;;;;;
830051298;31/12/2016;2016;518382;;;;;;;;
830051359;31/12/2016;2016;147700;;;;147700;;;;
830051377;31/12/2016;2016;1871918;0;0;0;1871918;0;0;;
830051423;31/12/2016;2016;688951;;;;;;;;
830051441;31/12/2016;2016;79174;;;;;;;;
830051492;31/12/2016;2016;78083;;;;;;;;
830051511;31/12/2016;2016;394247;-2830;-2830;-2830;391417;;;;
830051511;31/12/2016;2015-ene-01 / 2016-dic-31;632618;-1892;-1892;-1892;630726;;;;
830051519;31/12/2016;2016;678451;;;;;;;;
830051532;31/12/2016;2016;77607;;;;;;;;
830051573;31/12/2016;2016;129260;;;;;;;;
830051620;31/12/2016;2016;799141;;;;;;;;
830051675;31/12/2016;2016;-335597;;;;;;;;
830051760;31/12/2016;2016;207272;;;;;;;;
830051887;31/12/2016;2016;49685;;;;;;;;
830051889;31/12/2016;2016;293805;;;;;;;;
830051928;31/12/2016;2016;902095;;;;902095;;;;
830051952;31/12/2016;2016;204550;;;;;;;;
830051965;31/12/2016;2016;184673;0;0;110266;294939;0;0;110266;110266
830052004;31/12/2016;2016;96957;;;;96957;;;;
830052173;31/12/2016;2016;58439;;;;;;;;
830052232;31/12/2016;2016;125004;;;;;;;;
830052233;31/12/2016;2016;839909;;;;;;;;
830052241;31/12/2016;2016;70126;;;;;;;;
830052272;31/12/2016;2016;122475;;;;;;;;
830052405;31/12/2016;2016;317880;0;0;0;317880;0;0;0;0
830052449;31/12/2016;2016;285793;;;;285793;;;;
830052484;31/12/2016;2016;-34977;;;;;;;;
830052530;31/12/2016;2016;1532014;;;;;;;;
830052592;31/12/2016;2016;1968796;;;;1968796;;;;
830052626;31/12/2016;2016;730366;;;;730366;;;;
830052644;31/12/2016;2016;544159;;;-662331;-118172;;;-662331;-662331
830052662;31/12/2016;2016;544093;0;0;-662331;-118238;0;0;-662331;-662331
830052778;31/12/2016;2016;75484;402327;402327;402327;477811;0;0;0;0
830052825;31/12/2016;2016;629800;;;;;;;;
830052929;31/12/2016;2016;82640;;;;82640;;;;
830052968;31/12/2016;2016;941093;;;;;;;;
830053149;31/12/2016;2016;24838;;;;;;;;
830053180;31/12/2016;2016;903595;;;;;;;;
830053340;31/12/2016;2016;118243;;4850292;4850292;4968535;4850292;;;
830053558;31/12/2016;2016;25800;;;;;;;;
830053564;31/12/2016;2016;75907;;;;;;;;
830053662;31/12/2016;2016;377710;0;0;0;377710;0;0;0;0
830053693;31/12/2016;2016;-174824;0;0;0;-174824;0;0;0;0
830053719;31/12/2016;2016;5329156;;;;;;;;
830053792;31/12/2016;2016;72375;;;;72375;;;;
830053814;31/12/2016;2016;784684;0;0;0;784684;0;0;0;0
830053847;31/12/2016;2016;-7751854;;;;;;;;
830053900;31/12/2016;2016;247925;;;;;;;;
830053932;31/12/2016;2016;223489;;;;;;;;
830053939;31/12/2016;2016;484635;;;;;;;;
830053942;31/12/2016;2016;427243;;;;;;;;
830053973;31/12/2016;2016;2189726;;;;;;;;
830053998;31/12/2016;2016;172884;;;;;;;;
830054000;31/12/2016;2016;176358;;;;;;;;
830054002;31/12/2016;2016;3804243;;;;;;;;
830054028;31/12/2016;2016;132113;;;;;;;;
830054097;31/12/2016;2016;350657;;;;;;;;
830054203;31/12/2016;2016;36672;;;;;;;;
830054244;31/12/2016;2016;-1079611;;;;;;;;
830054299;31/12/2016;2016;984379;;;;;;;;
830054355;31/12/2016;2016;450940;;;;;;;;
830054364;31/12/2016;2016;494595;;;;;;;;
830054419;31/12/2016;2016;196918;;;;;;;;
830054424;31/12/2016;2016;411337;0;0;0;411337;0;0;0;0
830054477;31/12/2016;2016;116448;0;0;0;116448;0;0;;
830054496;31/12/2016;2016;386678;;;;;;;;
830054503;31/12/2016;2016;43842;;;;;;;;
830054516;31/12/2016;2016;95275;;;;95275;;;;
830054524;31/12/2016;2016;947679;;;;;;;;
830054595;31/12/2016;2016;2399365;0;0;0;2399365;0;0;0;0
830054656;31/12/2016;2016;1979824;;;;;;;;
830054833;31/12/2016;2016;36687;;;;;;;;
830054838;31/12/2016;2016;-212584;;;;;;;;
830054864;31/12/2016;2016;774280;;;;;;;;
830054922;31/12/2016;2016;216141;1000000;1000000;1000000;1216141;0;0;0;0
830054925;31/12/2016;2016;459608;0;0;0;459608;0;0;0;0
830055026;31/12/2016;2016;346776;;;;346776;;;;
830055049;31/12/2016;2016;2480120;;;;;;;;
830055120;31/12/2016;2016;60541;0;0;0;60541;0;0;0;0
830055137;31/12/2016;2016;732308;;;;;;;;
830055173;31/12/2016;2016;99503;;;;;;;;
830055316;31/12/2016;2016;328412;;;;;;;;
830055353;31/12/2016;2016;82106;;;;;;;;
830055442;31/12/2016;2016;1357008;;;;;;;;
830055467;31/12/2016;2016;116697;;;;116697;;;;
830055479;31/12/2016;2016;12558;;;;12558;;;;
830055495;31/12/2016;2016;304307;;;;;;;;
830055509;31/12/2016;2016;423763;;;;423763;;;;
830055541;31/12/2016;2016;748389;;;;748389;;;;
830055573;31/12/2016;2016;446957;;;;;;;;
830055628;31/12/2016;2016;22654;;;;22654;;;;
830055653;31/12/2016;2016;149893;;;;;;;;
830055677;31/12/2016;2016;1660313;;;;;;;;
830055803;31/12/2016;2016;41137;;;;;;;;
830055827;31/12/2016;2016;968569;;;;968569;;;;
830055841;31/12/2016;2016;478162;;73004;73004;551166;73004;;;
830055842;31/12/2016;2016;91810;0;0;0;91810;0;0;0;0
830055898;31/12/2016;2016;614679;;;;;;;;
830055997;31/12/2016;2016;833126;;;;;;;;
830056149;31/12/2016;2016;4538074;;;;4538074;;;;
830056172;31/12/2016;2016;10299;;;17551;27850;;;17551;17551
830056174;31/12/2016;2016;482293;;;;;;;;
830056202;31/12/2016;2016;663356;0;0;0;663356;0;0;0;0
830056224;31/12/2016;2016;1554083;;;;;;;;
830056268;31/12/2016;2016;-55809;;;;;;;;
830056339;31/12/2016;2016;622491;0;0;0;622491;0;0;0;0
830056418;31/12/2016;2016;2181570;;;;2181570;;;;
830056475;31/12/2016;2016;221512;0;0;0;221512;0;0;0;0
830056873;31/12/2016;2016;92172;;;;;;;;
830056886;31/12/2016;2016;170103;698204;1365825;1365825;1535928;667621;;;
830057068;31/12/2016;2016;152717;;;;;;;;
830057082;31/12/2016;2016;-1502291;0;0;0;-1502291;0;0;0;0
830057144;31/12/2016;2016;-1421204;0;0;0;-1421204;0;0;0;0
830057171;31/12/2016;2016;384691;0;0;0;384691;0;0;0;0
830057186;31/12/2016;2016;2122172;0;0;0;2122172;0;0;0;0
830057393;31/12/2016;2016;13527;0;0;0;13527;0;0;;
830057489;31/12/2016;2016;234475;-426946;-426946;-426946;-192471;;;;
830057514;31/12/2016;2016;-50031;;;;-50031;;;;
830057544;31/12/2016;2016;2028;;;;;;;;
830057664;31/12/2016;2016;-4478182;;;;;;;;
830057687;31/12/2016;2016;979473;1180255;1180255;1180255;2159728;0;0;0;0
830057739;31/12/2016;2016;2166059;;-272199;-272199;1893860;-272199;;;
830057750;31/12/2016;2016;-242883;;;;;;;;
830057762;31/12/2016;2016;19867917;;;;;;;;
830057804;31/12/2016;2016;742921;;;;;;;;
830057830;31/12/2016;2016;-441322;;;;;;;;
830057891;31/12/2016;2016;106013;;;;;;;;
830057912;31/12/2016;2016;314485;;;;;;;;
830058031;31/12/2016;2016;629613;;;;;;;;
830058072;31/12/2016;2016;45673;;;;;;;;
830058105;31/12/2016;2016;-546588;;;;;;;;
830058237;31/12/2016;2016;35899;0;0;0;35899;0;0;0;0
830058291;31/12/2016;2016;23995;;;;;;;;
830058315;31/12/2016;2016;1515886;;;;;;;;
830058336;31/12/2016;2016;100579;;;;;;;;
830058387;31/12/2016;2016;-213563;;;;;;;;
830058415;31/12/2016;2016;607894;;;;607894;;;;
830058473;31/12/2016;2016;97354;;;;;;;;
830058585;31/12/2016;2016;51074;;;;;;;;
830058620;31/12/2016;2016;643066;;;;;;;;
830058658;31/12/2016;2016;61963;;;;;;;;
830058677;31/12/2016;2016;5131997;0;0;0;5131997;0;0;0;0
830058798;31/12/2016;2016;406394;0;0;0;406394;0;0;0;0
830058850;31/12/2016;2016;272315;;93735;93735;366050;93735;;;
830058881;31/12/2016;2016;691389;;;;;;;;
830058890;31/12/2016;2016;205187;0;0;0;205187;0;0;;
830058891;31/12/2016;2016;10217;;;;;;;;
830058899;31/12/2016;2016;800873;;;;;;;;
830058936;31/12/2016;2016;341865;;;;;;;;
830058959;31/12/2016;2016;178168;;;;178168;;;;
830058971;31/12/2016;2016;309416;;;;;;;;
830059005;31/12/2016;2016;138152;;;;;;;;
830059052;31/12/2016;2016;21776079;66595058;66595058;66595058;88371137;;;;
830059061;31/12/2016;2016;21455;;;;21455;;;;
830059237;31/12/2016;2016;355809;;;;;;;;
830059301;31/12/2016;2016;25278;;;;25278;;;;
830059393;31/12/2016;2016;223927;;;;;;;;
830059412;31/12/2016;2016;397166;;;;;;;;
830059437;31/12/2016;2016;286537;;;;;;;;
830059465;31/12/2016;2016;338364;;;;338364;;;;
830059510;31/12/2016;2016;-1081133;;;;;;;;
830059548;31/12/2016;2016;2370382;;1409884;1409884;3780266;1409884;;;
830059566;31/12/2016;2016;425939;;;;425939;;;;
830059593;31/12/2016;2016;81887;;;;;;;;
830059650;31/12/2016;2016;-49460;;;;-49460;;;;
830059679;31/12/2016;2016;359160;;;;;;;;
830059885;31/12/2016;2016;18760;;;;;;;;
830060286;31/12/2016;2016;4165715;4800000;4800000;3458487;7624202;;;-1341513;-1341513
830060326;31/12/2016;2016;11665;;;;11665;;;;
830060337;31/12/2016;2016;163320;;;;;;;;
830060377;31/12/2016;2016;287954;;286680;286680;574634;286680;;;
